English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
"sitting, meeting",B2,feminine,ישיבה,יְשִׁיבָה,yshivá,,בישיבה דנו בנושאים חשובים לעתיד החברה.,בְּיְשִׁיבָה דָּנוּ בְּנוֹשְׂאִים חֲשׁוּבִים לֶעָתִיד הַחֲבֵרָה.,"At the meeting, they discussed important issues for the future of society."
"situation, status",A2,masculine,מצב,מַצָּב,matsáv,מצב נתון שבו נמצאים,המצב בארץ לא קל.,הַמַּצָּב בָּאָרֶץ לֹא קַל.,The situation in the country is not easy.
"size, greatness",A2,masculine,גודל,גֹּדֶל,gódel,מידה או שיעור של דבר,הגדל של השולחן לא מתאים לחדר.,הַגֹּדֶל שֶׁל הַשֻּׁלְחָן לֹא מַתְאִים לַחֶדֶר.,The size of the table does not fit the room.
skin,A2,masculine,עור,עוֹר,or,מעטפת החיצונית של הגוף,עור הילד רך.,עׂור הַיֶּלֶד רַךְ.,The child's skin is soft.
"sky, heaven",A1,masculine,שמים,שָׁמַיִם,shamáyim,הרקיע מעל לארץ,השמים כחולים היום.,הַשָּׁמַיִם כְּחוּלִים הַיּוֹם.,The sky is blue today.
skyline,B2,masculine,קו רקיע,קַו רָקִיעַ,kav rakía,,קו הרקיע של ניו יורק מפורסם ברחבי העולם.,קַו הָרָקִיעַ שֶׁל נְיוּ יוֹרְק מְפוּרְסָם בִּרְחָבֵי הָעוֹלָם.,The skyline of New York is famous around the world.
skyscraper,B2,masculine,גורד שחקים,גוֹרֵד שְׁחָקִים,goréd shakím,בניין גבוה מאוד,הגורד שחקים במרכז העיר נבנה בשנתיים בלבד.,הַגּוֹרֵד שְׁחָקִים בְּמֶרְכַּז הָעִיר נִבְנָה בִּשְׁנָתַיִם בִּלְבַד.,The skyscraper in the city center was built in only two years.
slave,A2,masculine,עבד,עֶבֶד,éved,אדם שנמצא בבעלות אחרים,העבד עבד בשדות החוטים.,הָעֶבֶד עָבַד בְּשָׂדוֹת הַחוּטִים.,The slave worked in the cotton fields.
slavery,B1,feminine,עבדות,עַבְדוּת,avdút,מצב שבו אנשים משועבדים,"העבדות בטלה בעבר, אבל עולה עדין קימת.","הָעַבְדוּת בֻּטְּלָה בָּעֶבֶר, אֲבָל עֲוֵלָה עֲדַיִן קַיֶּמֶת.","Slavery was abolished in the past, but injustice still exists."
sleep,A2,verb,ישן,יָשָׁן,yashán,היה בשינה,הוא ישן על הספה.,הוּא יָשַׁן עַל הַסַּפָּה.,He slept on the couch.
sleep,A2,feminine,שינה,שֵׁינָה,sheiná,מצב שבו ישנים,"אחרי יום עמוס, שינה טובה חשובה מאוד.","אַחֲרֵי יוֹם עָמוּס, שֵׁנָה טוֹבָה חֲשׁוּבָה מְאוֹד.","After a busy day, good sleep is very important."
slice,A2,feminine,פרוסה,פְּרוּסָה,prusá,חתיכה דקה של לחם או מזון,אני רוצה פרוסה של לחם.,אֲנִי רוֹצֶה פְּרוּסָה שֶׁל לֶחֶם.,I want a slice of bread.
"slice, cut, piece, chunk",B1,masculine,נתח,נֶתַח,nétaħ,חתיכה גדולה ממשהו,אני רוצה נתח בשר גדול.,אֲנִי רוֹצֶה נִתַּח בָּשָׂר גָּדוֹל.,I want a large slice of meat.
slow,A2,adjective,איטי,אִיטִי,ití,שאינו מהיר,האינטרנט בבית שלי איטי מאוד.,הָאִינְטֶרְנֵט בַּבַּיִת שֶׁלִּי אִטִּי מְאֹד.,The internet in my house is very slow.
slowly,A2,adverb,לאט,לְאַט,liát,בתנועה איטית,הוא דיבר לאט כדי שנבין.,הוּא דִּבֵּר לְאַט כְּדֵי שֶׁנָּבִין.,He spoke slowly so we would understand.
small,A1,adjective,קטן,קָטָן,katán,בעל מידה קטנה,הבית קטן אבל נעים.,הַבַּיִת קָטָן אֲבָל נָעִים.,The house is small but cozy.
smartphone,A2,masculine,סמארטפון,סְמַארְטְפוֹן,smártfon,טלפון חכם עם מסך מגע,הוא משתף תמונות בסמארטפון.,הוּא מְשַׁתֵּף תְּמוּנוֹת בַּסְּמַארְטְפוֹן.,He shares pictures on his smartphone.
smell,A2,verb,הריח,הֵרִיחַ,heríakh,הכניס אוויר לאף והרגיש בריח,הוא הריח את הפרח וחייך.,הוּא הֵרִיחַ אֶת הַפֶּרַח וְחָיֵיךְ.,He smelled the flower and smiled.
smell,A2,masculine,ריח,רֵיחַ,réakh,ריח הנקלט באף,יש ריח נעים בגן.,יֵשׁ רֵיחַ נָעִים בַּגָּן.,There is a pleasant smell in the garden.
smile,A2,verb,חייך,חִיֵּךְ,khiyékh,חייך והביע שמחה בפנים,התינוק חייך לאמו.,הַתִּינוֹק חִיֵּךְ לְאִמּוֹ.,The baby smiled at his mother.
smiley,B1,adjective,חייכן,חַיְכָן,khaykhan,מי שמחייך הרבה,התינוק חייכן מאוד.,הַתִּינוֹק חִיְּכָן מְאוֹד.,The baby is very smiley.
smoke,A2,verb,עישן,עִישֵּׁן,ishén,עשה שימוש בעשן טבק,הוא עישן במרפסת.,הוּא עִישֵּׁן בַּמִּרְפֶּסֶת.,He smoked on the balcony.
smoke,B1,masculine,עשן,עָשָׁן,ashán,עשן הנפלט מאש,העשן מן הארובה כיסה את השמים.,הָעָשָׁן מִן הָאֲרֻבָּה כִּסָּה אֶת הַשָּׁמַיִם.,The smoke from the chimney covered the sky.
smoking,A2,masculine,עישון,עִישּׁוּן,ishún,שאיפת עשן מטבק,העישון מזיק לבריאות.,הָעִישּׁוּן מַזִּיק לַבְּרִיאוּת.,Smoking is harmful to health.
snake,A1,masculine,נחש,נָחָשׁ,naħásh,זוחל ארוך חסר רגליים,הנחש התחבא בעשב.,הַנָּחָשׁ הִתְחַבֵּא בָּעֵשֶׂב.,The snake hid in the grass.
snot,B2,feminine,נזלת,נַזֶּלֶת,nazélet,,הילד סבל מנזלת קשה.,הַיֶּלֶד סָבַל מִנַּזֶּלֶת קָשָׁה.,The child suffered from a bad cold.
snow,A2,masculine,שלג,שֶׁלֶג,shéleg,מים קפואים,השלג נפל על הרחוב.,הַשֶּׁלֶג נָפַל עַל הָרְחוֹב.,The snow fell on the street.
snow,C,verb,השליג,הִשְׁלִיג,hishlíg,ירד שלג,החורף השליג את כל ההרים.,הַחוֹרֶף הִשְׁלִיג אֶת כָּל הֶהָרִים.,The winter covered all the mountains with snow.
snowboard,B2,masculine,גלשן שלג,גַּלְשָׁן שֶׁלֶג,galshán shéleg,כלי לספורט בשלג,בנסיעה לשווייץ הוא ניסה גלשן שלג בפעם הראשונה.,בִּנְסִיעָה לְשְׁוֵיְיץ הוּא נִסָּה גַּלְשַׁן שֶׁלֶג בַּפַּעַם הָרִאשׁוֹנָה.,On a trip to Switzerland he tried snowboarding for the first time.
snowman,A2,masculine,איש שלג,אִישׁ שֶׁלֶג,ish shéleg,דמות עשויה משלג,הילדים בנו איש שלג בגינה.,הַיְלָדִים בָּנוּ אִישׁ שֶׁלֶג בַּגִּינָּה.,The children built a snowman in the garden.
so much,A2,adverb,כל כך,כָּל כָּךְ,kol kaħ,במידה רבה מאוד,למה אתה מתלונן כל כך?,לָמָּה אַתָּה מִתְלּוֹנֵן כָּל כָּךְ?,Why are you complaining so much?
"so, then",A1,,אז,אָז,az,מילת קישור המציינת תוצאה או רצף,"הוא היה עייף, אז הוא ישן.","הוּא הָיָה עָיֵף, אָז הוּא יָשַׁן.","He was tired, so he slept."
soap,A1,masculine,סבון,סָבוֹן,sabón,חומר לניקוי הגוף,אני רוחץ ידיים בסבון.,אֲנִי רוֹחֵץ יָדַיִם בְּסַבּוֹן.,I wash my hands with soap.
"soccer, football",A2,masculine,כדורגל,כַּדּוּרֶגֶל,kadurégel,משחק קבוצתי בכדור,הכדורגל הוא ספורט פופולרי.,הַכַּדּוּרֶגֶל הוּא סְפּוֹרְט פּוֹפּוּלָרִי.,Soccer is a popular sport.
social,B1,adjective,חברתי,חֶבְרָתִי,khevratí,קשור לחברה או לקהילה,הפעילות החברתית בבית הספר משפרת את הידידות.,הַפְעִילוּת הַחֶבְרָתִית בְּבֵית הַסֵּפֶר מְשַׁפֶּרֶת אֶת הַיְּדִידוּת.,Social activities at school improve friendships.
sociology,B1,feminine,סוציולוגיה,סוֹצְיוֹלוֹגְיָה,sotsyológya,מדע החברה,בקורס למדנו על סוציולוגיה.,בַּקּוּרְס לָמַדְנוּ עַל סוֹצְיוֹלוֹגְיָה.,"In the course, we learned about sociology."
sock,A1,all,גרב,גֶּרֶב,gérev,כיסוי לרגל,הגרב שלי אבד.,הַגֶּרֶב שֶׁלִּי אָבַד.,My sock got lost.
sodium,B2,masculine,נתרן,נַתְרָן,natrán,,המלח מכיל כמויות גבוהות של נתרן.,הַמֶּלַח מָכִיל כַּמּוּיוֹת גְּבוֹהוֹת שֶׁל נַתְרָן.,Salt contains high amounts of sodium.
soft,A2,adjective,רך,רַךְ,raħ,שאינו קשה,הכרית שלי רכה ונוחה.,הַכָּרִית שֶׁלִּי רַכָּה וְנוֹחָה.,My pillow is soft and comfortable.
software,B1,feminine,תכנה,תָּכְנָה,toħná,תוכנה למחשב,התוכנה הזאת עוזרת בעבודה היומית.,הַתָּכְנָה הַזֹּאת עוֹזֶרֶת בַּעֲבוֹדָה הַיּוֹמִית.,This software helps with daily work.
solar system,B1,feminine,מערכת שמש,מַעֲרֶכֶת שֶׁמֶשׁ,maaréħet shémesh,מערכת כוכבים מסביב לשמש,המערכת שמש כוללת כמה כוכבים.,הַמַּעֲרֶכֶת שֶׁמֶשׁ כּוֹלֶלֶת כַּמָּה כּוֹכָבִים.,The solar system includes several planets.
soldier,A2,masculine,חייל,חַיָּל,ħayál,מי שמשרת בצבא,החייל הלך לבסיס.,הַחַיָּל הָלַךְ לַבָּסִיס.,The soldier went to the base.
solid,B2,adjective,מוצק,מוּצָק,mutsák,,הקרח נשאר מוצק גם בטמפרטורות נמוכות.,הַקֶּרַח נִשְׁאַר מוּצָק גַּם בְּטֶמְפֶּרָטוּרוֹת נְמוּכוֹת.,The ice remained solid even at low temperatures.
solution,B1,masculine,פתרון,פִּתְרוֹן,pitrón,פתרון לבעיה,המורה הסביר את הפתרון בפשוט.,הַמּוֹרֶה הִסְבִּיר אֶת הַפִּתְרוֹן בִּפְשׁוּט.,The teacher explained the solution clearly.
something,A1,,משהו,מַשֶּׁהוּ,máshehu,דבר לא מוגדר במדויק,יש לי משהו להגיד.,יֵשׁ לִי מַשֶּׁהוּ לְהַגִּיד.,I have something to say.
sometimes,B1,adverb,לעיתים,לְעִתִּים,litim,בזמנים מסוימים,לעיתים אני קורא ספרים.,לְעִתִּים אֲנִי קוֹרֵא סִפְרִים.,Sometimes I read books.
son,A1,masculine,בן,בֵּן,ben,יצור אנושי ממין זכר,יש לי בן אחד.,יֵשׁ לִי בֵּן אֶחָד.,I have one son.
"song, poem",A1,masculine,שיר,שִׁיר,shir,לחן עם מילים או בלעדיהן,השיר הזה יפה.,הַשִּׁיר הַזֶּה יָפֶה.,This song is beautiful.
soon,A2,adv,בקרוב,בְּקָרוֹב,b'karóv,בעתיד הקרוב,בקרוב נפגש שוב.,בְּקָרוֹב נִפָּגֵשׁ שׁוּב.,We will meet again soon.
soon,B1,adv,בהקדם,בְּהֶקְדֵּם,behekdém,בעתיד הקרוב,בהקדם נסע לתיאטרון.,בְּהֶקְדֵּם נָסַע לַתֵּאָטְרוֹן.,We will travel to the theater soon.
sorcerer,B2,masculine,מכשף,מְכַשֵּׁף,mħashéf,,הכפריים האמינו שמכשף גר ביער.,הַכְּפָרִיִּים הֶאֱמִינוּ שֶׁמְּכַשֵּׁף גָּר בַּיָּעַר.,The villagers believed that a sorcerer lived in the forest.
sorrow,B1,masculine,צער,צַעַר,tsáar,תחושת צער עמוק,הוא הרגיש צער גדול אחרי הפרוד.,הוּא הִרְגִּישׁ צַעַר גָּדוֹל אַחֲרֵי הַפֵּרוּד.,He felt great sorrow after the breakup.
sound wave,B2,masculine,גל קול,גַּל קוֹל,gal kol,גלי קול,גלי הקול נעצרים בקירים עבים.,גַּלֵּי הַקּוֹל נֶעֱצָרִים בַּקִּירִים עֲבֵהִים.,Sound waves are absorbed by thick walls.
"sound, voice",A1,masculine,קול,קוֹל,kol,צליל הנשמע באוזן,הקול שלה רך ונעים.,הַקוֹל שֶׁלָּהּ רַךְ וְנָעִים.,Her voice is soft and pleasant.
soup,A1,masculine,מרק,מָרָק,marák,נוזל חם המאכל,אני אוהב מרק חם.,אֲנִי אוֹהֵב מָרָק חַם.,I like hot soup.
sour,A2,adjective,חמוץ,חָמוּץ,ħamúts,בעל טעם חמוץ,התפוז הזה חמוץ מאוד.,הַתַּפּוּז הַזֶּה חָמוּץ מְאוֹד.,This orange is very sour.
south,A1,masculine,דרום,דָּרוֹם,daróm,כיוון בעולם,הדרום חם בקיץ.,הַדָּרוֹם חַם בַּקַּיִץ.,The south is hot in the summer.
southern,B1,adjective,דרומי,דָּרוֹמִי,dromí,שייך לדרום,העיר באר שבע נמצאת בחלק הדרומי של הארץ.,הָעִיר בְּאֵר שֶׁבַע נִמְצֵאת בַּחֵלֶק הַדְּרוֹמִי שֶׁל הָאָרֶץ.,The city of Be'er Sheva is located in the southern part of the country.
souvenir,B2,feminine,מזכרת,מַזְכָּרֶת,mazkéret,,היא קנתה מזכרת קטנה מהטיול בחו”ל.,הִיא קָנְתָה מַזְכֶּרֶת קְטַנָּה מֵהַטִּיּוּל בַּחוּ״ל.,She bought a small souvenir from the trip abroad.
"sovereign, master",B2,masculine,ריבון,רִיבּוֹן,ribón,,הריבון קבע את חוקי המדינה.,הָרִיבּוֹן קָבַע אֶת חוּקֵי הַמְּדִינָה.,The sovereign set the laws of the state.
space station,B2,feminine,"תחנת חלל",תַּחֲנַת חָלָל,taħanát ħalál,,תחנת חלל בינלאומית מקיפה את כדור הארץ.,תַּחֲנַת חֲלָל בֵּינְלְאוּמִּית מַקִּיפָה אֶת כַּדּוּר הָאָרֶץ.,An international space station orbits the Earth.
"space, area",B1,masculine,מרחב,מֶרְחָב,merħáv,שטח פתוח או אזור,המרחב באולם גדול מאוד.,הַמֶּרְחָב בָּאוּלָם גָּדוֹל מְאוֹד.,The space in the hall is very large.
"space, outer space",B1,masculine,חלל,חָלָל,ħalál,חלל שמחוץ לכדור הארץ,חלל היקום מלא כוכבים.,חָלָל הַיְּקוּם מָלֵא כּוֹכָבִים.,Outer space is full of stars.
spaceship,B2,feminine,חללית,חֲלָלִית,ħalalít,,האסטרונאוטים נחתו בחללית חדשה.,הָאַסְטְרוֹנָאוּטִים נָחֲתוּ בַּחֲלָלִית חֲדָשָׁה.,The astronauts landed in a new spaceship.
Spain,A1,feminine,ספרד,סְפָרַד,sfarád,מדינה בדרום אירופה,ספרד נמצאת באירופה.,סְפָרַד נִמְצֵאת בְּאֵירוֹפָּה.,Spain is located in Europe.
Spanish,A1,feminine,ספרדית,סְפָרַדִּית,sfaradít,שפה שמדברים בספרד,היא לומדת ספרדית.,הִיא לוֹמֶדֶת סְפָרַדִּית.,She is learning Spanish.
spark,B2,masculine,ניצוץ,נִיצוֹץ,nitsóts,,ניצוץ קטן הצית את כל המדורה.,נִיצוֹץ קָטָן הִצִּית אֶת כָּל הַמְּדוּרָה.,A small spark ignited the entire bonfire.
speak,A1,verb,דיבר,דִּיבֵּר,dibér,שוחח עם אחר בשפה,הוא דיבר עם המורה.,הוּא דִּיבֵּר עִם הַמּוֹרֶה.,He spoke with the teacher.
"speaker, loudspeaker",B1,masculine,רמקול,רַמְקוֹל,ramkól,מכשיר שמגביר קול,הרמקול החדש נתן צליל חזק וברור.,הָרַמְקוֹל הַחָדָשׁ נָתַן צְלִיל חָזָק וּבָרוּר.,The new speaker produced a loud and clear sound.
"special, unique",A2,adjective,מיוחד,מְיֻחָד,miyuħád,"שאינו רגיל, בעל ייחוד",הספר הזה מיוחד מאוד.,הַסֵּפֶר הַזֶּה מְיֻחָד מְאוֹד.,This book is very special.
speed,B1,feminine,מהירות,מְהִירוּת,mhirút,היכולת לנוע במהירות,המכונית נסעה במהירות גבוהה.,הַמְּכוֹנִית נָסְעָה בְּמְהִירוּת גְּבוֹהָה.,The car was moving at high speed.
spelling,B1,masculine,כתיב,כְּתִיב,ktív,צורת כתיבה נכונה,הכתיב הנכון חשוב בכתיבה.,הַכְּתִיב הַנָּכוֹן חָשׁוּב בִּכְתִיבָה.,Correct spelling is important in writing.
spinal column,B2,masculine,עמוד השדרה,עַמּוּד הַשִּׁדְרָה,amúd hashidrá,,הפגיעה הייתה באזור עמוד השדרה.,הַפְּגִיעָה הָיְתָה בְּאֵזוֹר עַמּוּד הַשִּׁדְרָה.,The injury was in the spinal column area.
spine,B2,feminine,שדרה,שִׁדְרָה,shidrá,,השדרה הראשית בעיר עמוסה במכוניות.,הַשְּׁדֵרָה הָרָאשִׁית בָּעִיר עֲמוּסָה בִּמְכוֹנִיּוֹת.,The city’s main boulevard was crowded with cars.
"spirit, ghost",B2,all,רוח,רוּחַ,rúaħ,,הרוח נשבה בעוצמה על החוף.,הָרוּחַ נָשְׁבָה בְּעוֹצְמָה עַל הַחוֹף.,The wind blew strongly on the beach.
spiritual,B1,adjective,רוחני,רוּחָנִי,ruħaní,שייך לרוח או לנפש,המוסיקה משפיעה עלי באופן רוחני.,הַמּוּסִיקָה מַשְׁפִּיעָה עָלַי בָּאֹפֶן רוּחָנִי.,Music affects me in a spiritual way.
split,B2,masculine,פילוג,פִּילוּג,pilúg,,הפילוג במפלגה החליש את כוחה.,הַפִּילוּג בַּמִּפְלָגָה הֶחֱלִישׁ אֶת כֹּחָהּ.,The split in the party weakened its strength.
spoon,A2,feminine,כף,כַּף,kaf,כלי לאכילה בנוזלים,היא שמה כף סוכר בתה.,הִיא שָׂמָה כַּף סֻכָּר בַּתֵּה.,She put a spoonful of sugar in the tea.
sport,A1,masculine,ספורט,סְפּוֹרְט,sport,פעילות גופנית,היא מתמרן בספורט כל בוקר.,הִיא מְתַמֶּרֶן בְּסְפּוֹרְט כָּל בֹּקֶר.,She trains in sports every morning.
springtime,A1,masculine,אביב,אָבִיב,avív,עונה בשנה שבה הכול פורח,האביב יפה.,הָאָבִיב יָפֶה.,Spring is beautiful.
"sprouting, growth",B2,feminine,צמיחה,צְמִיחָה,tsmiħá,,צמיחה כלכלית מורגשת בשנים האחרונות.,צְמִיחָה כַּלְכָּלִית מוּרְגֶּשֶׁת בַּשָּׁנִים הָאַחֲרוֹנוֹת.,Economic growth has been felt in recent years.
spy,B1,masculine,מרגל,מְרַגֵּל,meragel,אדם שמרגל בסתר,המרגל עבד בשביל הממשלה.,הַמְּרַגֵּל עָבַד בִּשְׁבִיל הַמֶּמְשָׁלָה.,The spy worked for the government.
spy,B2,verb,ריגל,רִיגֵּל,rigél,,המרגל ריגל אחרי הדיפלומטים.,הַמֵּרַגֵּל רִגֵּל אַחֲרֵי הַדִּיפְּלוֹמָטִים.,The spy spied on the diplomats.
"square, plaza",B1,feminine,כיכר,כִּכָּר,kikár,שטח עגול במרכז עיר,בתוך הכיכר נמצאת מזרקה.,בְּתוֹךְ הַכִּכָּר נִמְצָאת מִזְרָקָה.,There is a fountain in the center of the plaza.
squeeze,B1,verb,סחט,סָחַט,sakhát,סחט נוזל או כסף,הוא סחט מיץ תפוזים בבוקר.,הוּא סָחַט מִיץ תַּפּוּזִים בַּבֹּקֶר.,He squeezed orange juice in the morning.
stab,C,verb,דקר,דָּקַר,dakár,נעץ כלי חד,העבריין דקר את הקורבן ברחוב.,הָעַבְרְיָן דָּקַר אֶת הַקָּרוֹבָּן בָּרְחוֹב.,The criminal stabbed the victim in the street.
stadium,A2,masculine,אצטדיון,אִצְטַדְיוֹן,itstadyón,מגרש למשחקי ספורט,האיצטדיון מלא באוהדים.,הָאִיצְטַדְיוֹן מָלֵא בְּאוֹהֲדִים.,The stadium is full of fans.
stage,B1,feminine,בימה,בִּימָה,bimá,מקום מוגבה להצגה,הזמר עמד על הבימה ושר.,הַזַּמָּר עָמַד עַל הַבִּימָה וְשָׁר.,The singer stood on the stage and sang.
stain,C,masculine,רבב,רֶבֶב,r'váv,כתם קטן,הבגד נשאר עם רבב קטן אחרי הכביסה.,הַבֶּגֶד נִשְׁאַר עִם רֶבֶב קָטָן אַחֲרֵי הַכְּבִיסָה.,The garment was left with a small stain after washing.
"stair, step",B2,feminine,מדרגה,מַדְרֵגָה,madregá,,הוא טיפס בזהירות מדרגה אחר מדרגה.,הוּא טִיפֵּס בְּזֵהִירוּת מַדְרֵגָה אַחַר מַדְרֵגָה.,He carefully climbed step by step.
stamp,A2,masculine,בול,בּוֹל,bul,סימן קטן לדואר,הדואר שלח לי בול חדש.,הַדּוֹאַר שָׁלַח לִי בּוּל חָדָשׁ.,The post office sent me a new stamp.
star,A2,masculine,כוכב,כּוֹכָב,koħáv,גרם שמימי מאיר בלילה,הכוכבים זוהרים בלילה.,הַכּוֹכָבִים זוֹהֲרִים בַּלַּיְלָה.,The stars shine at night.
Star of David,B1,masculine,מגן דוד,מָגֵן דָּוִד,magén davíd,סמל יהודי בצורת מגן,מגן דוד הוא סמל יהודי מוכר.,מָגֵן דָּוִד הוּא סֵמֶל יְהוּדִי מֻכָּר.,The Star of David is a well-known Jewish symbol.
starfish,B2,masculine,כוכב ים,כּוֹכַב יָם,koħáv yam,,מצאנו כוכב ים בין הסלעים.,מָצָאנוּ כּוֹכַב יָם בֵּין הַסְּלָעִים.,We found a starfish among the rocks.
start,A2,verb,התחיל,הִתְחִיל,hitħíl,התחיל בפעולה או תהליך,השיעור התחיל בשעה עשר.,הַשִּׁיעוּר הִתְחִיל בְּשָׁעָה עֶשֶׂר.,The lesson started at 10 o’clock.
start,A1,feminine,התחלה,הַתְחָלָה,hatkhalá,ראשית של משהו,זאת התחלה טובה.,זֹאת הִתְחָלָה טוֹבָה.,This is a good start.
static,B2,adjective,סטטי,סְטָטִי,státi,,השיער עמד בצורה סטטית אחרי שפשוף בסוודר.,הַשֵּׂעָר עָמַד בְּצוּרָה סְטָטִית אַחֲרֵי שִׁפְשׁוּף בַּסְּוֶודֶר.,The hair stood up in a static way after rubbing the sweater.
static electricity,B2,masculine,חשמל סטטי,חַשְׁמַל סְטָטִי,khashmal stati,,בימי חורף יבשים אפשר להרגיש חשמל סטטי בבגדים.,בִּימֵי חֹרֶף יְבֵשִׁים אֶפְשָׁר לְהַרְגִּישׁ חַשְׁמַל סְטָטִי בַּבְּגָדִים.,"In dry winter days, one can feel static electricity in the clothes."
station,A2,feminine,תחנה,תַּחֲנָה,taħaná,מקום לעצירה או מעבר,האוטובוס עצר בתחנה.,הָאוֹטוֹבּוּס עָצַר בַּתַּחֲנָה.,The bus stopped at the station.
status,B1,masculine,סטטוס,סְטָטוּס,státus,מעמד של אדם,הסטטוס שלו בחברה גבוה.,הַסְּטָטוּס שֶׁלּוֹ בַּחֶבְרָה גָּבוֹהַּ.,His status in society is high.
"steam, vapor",B1,masculine,אד,אָד,ed,מים במצב גז,אד עלה מהכוס החמה.,אֵד עָלָה מֵהַכּוֹס הַחַמָּה.,Steam rose from the hot cup.
steel,B2,feminine,פלדה,פַּלְדָּה,pladá,,הגשר נבנה מקורות פלדה חזקות.,הַגֶּשֶׁר נִבְנָה מִקּוֹרוֹת פְּלָדָה חֲזָקוֹת.,The bridge was built from strong steel beams.
stock market,B2,masculine,שוק מניות,שׁוּק מְנָיוֹת,shuk menayót,,שוק המניות ירד אתמול בחדות.,שׁוּק הַמְּנָיוֹת יָרַד אֶתְמוֹל בְּחָדוּת.,The stock market fell sharply yesterday.
stone,A2,feminine,אבן,אֶבֶן,éven,גוש קטן קשה ממשטח טבעי,יש אבן גדולה בגן.,יֵשׁ אֶבֶן גְּדוֹלָה בַּגַּן.,There is a big stone in the garden.
"store, shop",A1,feminine,חנות,חֲנוּת,ħanút,מקום לקנייה ומכירה של מוצרים,יש חנות קטנה בכיכר.,יֵשׁ חֲנוּת קָטָנָה בַּכִּכָּר.,There is a small shop in the square.
storm,A2,feminine,סערה,סְעָרָה,siará,רוח חזקה ומטר עז,הסערה היתה חזקה ומפחדת.,הַסְּעָרָה הָיְתָה חֲזָקָה וּמְפַחֶדֶת.,The storm was strong and frightening.
story,A1,masculine,סיפור,סִיפּוּר,sipúr,תיאור מאורע או דמיון במילים,אני אוהב לקרוא סיפורים.,אֲנִי אוֹהֵב לִקְרוֹא סִיפּוּרִים.,I like to read stories.
"stove, oven",A1,masculine,תנור,תַּנוּר,tanúr,מכשיר לחימום ובישול,התנור חם מאוד.,הַתַּנּוּר חַם מְאוֹד.,The oven is very hot.
"straight, straight away",A2,masculine,ישר,יָשָׁר,yashár,שאינו עקום,הקיר ישר ובלי סדקים.,הַקִּיר יָשָׁר וּבְלִי סֶדֶקִים.,The wall is straight and without cracks.
"strain, effort",B2,masculine,מאמץ,מַאֲמָץ,maamáts,,המאמץ שהשקיע הביא לו הצלחה גדולה.,הַמַּאֲמָץ שֶׁהִשְׁקִיעַ הֵבִיא לוֹ הַצְלָחָה גְּדוֹלָה.,The effort he invested brought him great success.
"strange, odd",B1,adjective,מוזר,מוּזָר,muzár,שאינו רגיל,הסיפור שהוא סיפר לי היה מוזר מאוד.,הַסִּפּוּר שֶׁהוּא סִפֵּר לִי הָיָה מוּזָר מְאוֹד.,The story he told me was very strange.
strategy,B2,feminine,אסטרטגיה,אַסְטְרָטֶגְיָה,astratégya,תכנית פעולה לטווח ארוך,החברה צריכה לגבש אסטרטגיה לעתיד.,הַחֶבְרָה צְרִיכָה לִגְבּוֹשׁ אִסְטְרָטֶגְיָה לְעָתִיד.,The company needs to develop a strategy for the future.
strawberry,A2,masculine,תות שדה,תוּת שָׂדֶה,tut sadé,פרי אדום מתוק,היא אכלה תות שדה מתוק.,הִיא אָכְלָה תּוּת שָׂדֶה מָתוֹק.,She ate a sweet strawberry.
strawberry,B1,masculine,תות,תּוּת,tut,פרי אדום קטן ומתוק,התות הזה מתוק וטרי.,הַתּוּת הַזֶּה מָתוֹק וְטָרִי.,This strawberry is sweet and fresh.
"stream, faction",B2,masculine,פלג,פֶּלֶג,péleg,,בנהר זרם פלג קטן.,בַּנָּהָר זָרַם פֶּלֶג קָטָן.,In the river flowed a small stream.
street,A1,masculine,רחוב,רְחוֹב,reħóv,דרך בנויה בעיר,הרחוב הזה רחב.,הָרְחוֹב הַזֶּה רַחָב.,This street is wide.
street corner,B2,feminine,"קרן רחוב",קֶרֶן רְחוֹב,kéren reħóv,,בקרן הרחוב עמדו שני אנשים ודיברו.,בְּקֶרֶן הָרְחוֹב עָמְדוּ שְׁנֵי אֲנָשִׁים וְדִבְּרוּ.,At the street corner two people stood and talked.
strength,B1,masculine,חוזק,חוֹזֶק,ħózek,כוח פיזי,הבנין הזה נבנה בחזק רב.,הַבֵּנְיָן הַזֶּה נִבְנָה בְּחֹזֶק רַב.,This building was built with great strength.
"string, wire, thread",B1,masculine,חוט,חוּט,ħut,חוט או כבל דק,חשוב לשמור על החוט הדק.,חָשׁוּב לִשְׁמֹר עַל הַחוט הַדָּק.,It's important to keep the thin thread intact.
strong,A1,adjective,חזק,חָזָק,ħazák,בעל כוח רב,הבחור הזה חזק מאוד.,הַבַּחוּר הַזֶּה חָזָק מְאוֹד.,This guy is very strong.
student,A2,masculine,סטודנט,סְטוּדֶנְט,studént,אדם הלומד באוניברסיטה,הסטודנט לומד לימודי הנדסה.,הַסְּטוּדֶנְט לוֹמֵד לִמּוּדֵי הַנָּדָסָה.,The student studies engineering.
student,A1,masculine,תלמיד,תַּלְמִיד,talmíd,אדם הלומד בבית ספר,התלמיד כותב במחברת.,הַתַּלְמִיד כּוֹתֵב בַּמַּחְבֶּרֶת.,The student writes in the notebook.
